FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM GoldSetMethodID Rank - All Ranks	VSM GoldSetMethodID Rank - Best Rank
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	465	
1646058	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	8	8
 	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	22	
 	2365	org.gjt.sp.jedit.search.HyperSearchResults.KeyHandler.keyPressed(KeyEvent)	44	
 	2366	org.gjt.sp.jedit.search.HyperSearchResults.MouseHandler.mousePressed(MouseEvent)	96	
 	2369	org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction.actionPerformed(ActionEvent)	83	
1649033	2031	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(View,String,int,boolean)	100	37
 	2032	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Dialog,View,String,int,boolean)	91	
 	5914	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(View,String,int,boolean,boolean)	116	
 	5915	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Dialog,View,String,int,boolean,boolean)	111	
 	5922	org.gjt.sp.jedit.browser.VFSFileChooserDialog.getDefaultTitle()	6216	
 	5923	org.gjt.sp.jedit.browser.VFSFileChooserDialog._init(View,String,int,boolean,boolean)	164	
 	4788	org.gjt.sp.jedit.search.SearchDialog.MultiFileActionHandler.actionPerformed(ActionEvent)	37	
1654543	5703	org.gjt.sp.jedit.gui.VariableGridLayout.getLayoutSize(Container,LayoutSize)	5914	5914
1658252	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)	564	382
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)	619	
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)	644	
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createSpanRule(int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(char,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(String,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(int,char[],String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	4144	org.gjt.sp.jedit.syntax.ParserRule.createEOLSpanRule(int,String,ParserRuleSet,byte,byte)	429	
 	4145	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(char,int,String,ParserRuleSet,byte,byte,boolean)	577	
 	4146	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(String,int,String,ParserRuleSet,byte,byte,boolean)	473	
 	4147	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(int,char[],String,ParserRuleSet,byte,byte,boolean)	481	
 	4148	org.gjt.sp.jedit.syntax.ParserRule.createMarkFollowingRule(int,String,byte,byte)	423	
 	4149	org.gjt.sp.jedit.syntax.ParserRule.createMarkPreviousRule(int,String,byte,byte)	414	
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)	1069	
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()	611	
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(int,String,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(char[],int,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	962	
 	-1	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean,boolean)		
 	5553	org.gjt.sp.jedit.syntax.TokenMarker.matchToken(ParserRule,ParserRule,LineContext)	382	
 	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	1028	
 	6139	org.gjt.sp.jedit.syntax.XModeHandler.TagDecl.TagDecl(String,Attributes)	576	
1659666	5494	org.gjt.sp.jedit.TextUtilities.getComplementaryBracket(char,boolean[])	847	553
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	1164	
 	5552	org.gjt.sp.jedit.syntax.TokenMarker.substitute(Matcher,char[])	553	
1663617	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	64	64
1664900	2399	org.gjt.sp.jedit.indent.IndentAction.Collapse.Collapse()	5000	59
 	3667	org.gjt.sp.jedit.indent.OpenBracketIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	59	
 	3669	org.gjt.sp.jedit.indent.OpenBracketIndentRule.handleCollapse(List<IndentAction>,boolean)	91	
 	4580	org.gjt.sp.jedit.indent.RegexpIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	107	
1668893	3462	org.gjt.sp.jedit.MiscUtilities.autodetect(InputStream,Buffer)	323	63
 	750	org.gjt.sp.jedit.bufferio.BufferIORequest.write(Buffer,OutputStream)	63	
1671312	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	21	21
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	47	
 	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	442	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	644	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	451	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	94	
1676041	5500	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean)	26	3
 	5501	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean,boolean)	3	
 	5506	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean)	27	
 	5507	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean,boolean)	4	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	53	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	968	
 	1529	org.gjt.sp.jedit.options.EditingOptionPane.saveMode()	94	
 	1530	org.gjt.sp.jedit.options.EditingOptionPane.selectMode()	85	
 	1531	org.gjt.sp.jedit.options.EditingOptionPane.updateEnabled()	159	
 	1535	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.load()	65	
 	1536	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.save()	214	
 	5185	org.gjt.sp.jedit.textarea.TextArea.selectWord()	16	
 	5238	org.gjt.sp.jedit.textarea.TextArea.goToNextWord(boolean,boolean)	8	
 	5245	org.gjt.sp.jedit.textarea.TextArea.goToPrevWord(boolean,boolean)	11	
 	5266	org.gjt.sp.jedit.textarea.TextArea.backspaceWord(boolean)	10	
 	5273	org.gjt.sp.jedit.textarea.TextArea.deleteWord(boolean)	9	
 	5405	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doDoubleClick()	41	
1687264	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	138	138
1694133	345	org.gjt.sp.jedit.browser.BrowserView.ParentDirectoryList.processKeyEvent(KeyEvent)	330	191
 	5773	org.gjt.sp.jedit.browser.VFSBrowser.previousDirectory()	988	
 	5774	org.gjt.sp.jedit.browser.VFSBrowser.nextDirectory()	432	
 	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	308	
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	191	
 	5934	org.gjt.sp.jedit.browser.VFSFileNameField.processKeyEvent(KeyEvent)	276	
1708876	3446	org.gjt.sp.jedit.MiscUtilities.getFileExtension(String)	404	404
1708881	5853	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler.mousePressed(MouseEvent)	24	24
1723506	3040	org.gjt.sp.jedit.textarea.JEditTextArea.showPopupMenu()	327	327
1724940	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	286	97
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	97	
1730845	1573	org.gjt.sp.jedit.EditPane.EditPane(View,Buffer,BufferSet.Scope)	36	7
 	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	9	
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	18	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	7	
 	2139	org.gjt.sp.jedit.options.GutterOptionPane.isGutterEnabled()	74	
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)	170	
 	2091	org.gjt.sp.jedit.textarea.Gutter.setBorder(Border)	548	
 	2098	org.gjt.sp.jedit.textarea.Gutter.setFont(Font)	646	
 	2099	org.gjt.sp.jedit.textarea.Gutter.setGutterEnabled(boolean)	534	
 	2110	org.gjt.sp.jedit.textarea.Gutter.getPreferredSize()	538	
 	2125	org.gjt.sp.jedit.textarea.Gutter.setSelectionPopupHandler(GutterPopupHandler)	443	
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	137	
 	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	67	
 	2131	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseDragged(MouseEvent)	152	
 	2132	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.getFoldEndOffset(int)	45	
 	2133	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseReleased(MouseEvent)	544	
1739675	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	6192	6192
1744674	2301	org.gjt.sp.jedit.search.HyperSearchFileNode.getBuffer(View)	3	1
 	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	71	
 	2325	org.gjt.sp.jedit.search.HyperSearchResult.getBuffer(View)	1	
 	2327	org.gjt.sp.jedit.search.HyperSearchResult.goTo(EditPane)	356	
 	2351	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode)	413	
 	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	76	
1747300	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	180	48
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	178	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	130	
 	2138	org.gjt.sp.jedit.options.GutterOptionPane.addFoldStyleChooser()	48	
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.Gutter.getFoldPainterName()		
 	-1	org.gjt.sp.jedit.textarea.Gutter.setFoldPainter(String)		
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)	105	
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	179	
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	5598	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)	772	
 	5599	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	182	
 	5600	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	113	
1748509	2033	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Frame,View,String,int,boolean)	267	14
 	5916	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Frame,View,String,int,boolean,boolean)	865	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	530	
 	2457	org.gjt.sp.jedit.pluginmgr.InstallPanel.loadPluginSet(String)	14	
 	2476	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.restoreSelection(Set<String>,Set<String>)	403	
 	2488	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.StringMapHandler()	440	
 	2489	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.startElement(String,String,String,Attributes)	694	
 	2490	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.ChoosePluginSet()	57	
 	2491	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.updateUI()	886	
 	2492	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.actionPerformed(ActionEvent)	16	
 	2493	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.ClearPluginSet()	52	
 	2494	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.actionPerformed(ActionEvent)	270	
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	508	
 	3358	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.SaveButton()	38	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.saveState(String,StringList)		
 	3360	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.actionPerformed(ActionEvent)	75	
1749475	4914	org.gjt.sp.jedit.options.ShortcutsOptionPane._init()	1	1
 	4916	org.gjt.sp.jedit.options.ShortcutsOptionPane.setFilter()	5	
 	4917	org.gjt.sp.jedit.options.ShortcutsOptionPane.initModels()	20	
 	4922	org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler.mouseClicked(MouseEvent)	81	
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.ShortcutsModel(String,Vector<GrabKeyDialog.KeyBinding[]>)		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.resetFilter()		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setFilter(String)		
 	4925	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getBindings()	5585	
 	4928	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getRowCount()	5588	
 	4929	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getValueAt(int,int)	508	
 	4930	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setValueAt(Object,int,int)	129	
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getFilteredBindingAt(int,int)		
1768638	608	org.gjt.sp.jedit.Buffer.save(View,String)	265	3
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)	241	
 	610	org.gjt.sp.jedit.Buffer.save(View,String,boolean,boolean)	30	
 	1622	org.gjt.sp.jedit.EditServer.handleClient(boolean,boolean,boolean,String,String[])	62	
 	6005	org.gjt.sp.jedit.View.setBuffer(Buffer)	19	
 	6006	org.gjt.sp.jedit.View.setBuffer(Buffer,boolean)	3	
 	6008	org.gjt.sp.jedit.View.goToBuffer(Buffer)	21	
 	6054	org.gjt.sp.jedit.View.WindowHandler.windowActivated(WindowEvent)	10	
 	1056	org.gjt.sp.jedit.gui.CloseDialog.ActionHandler.actionPerformed(ActionEvent)	77	
 	2688	org.gjt.sp.jedit.jEdit.getIntegerProperty(String)	1537	
 	2727	org.gjt.sp.jedit.jEdit.openFiles(View,String,String[])	333	
 	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	50	
 	2747	org.gjt.sp.jedit.jEdit.saveAllBuffers(View,boolean)	8	
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	93	
 	2760	org.gjt.sp.jedit.jEdit.checkBufferStatus(View,boolean)	4	
 	-1	org.gjt.sp.jedit.jEdit.finishStartup(boolean,boolean,String,String[])		
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	60	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	252	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)	474	
1781853	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	11	11
 	2471	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.sort(int)	472	
 	2498	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.EntryCompare(int,int)	3681	
 	-1	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.compare(Object,Object)		
 	2500	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderMouseHandler.mouseClicked(MouseEvent)	13	
 	2506	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.HeaderRenderer(DefaultTableCellRenderer)	906	
 	2507	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)	76	
1788847	682	org.gjt.sp.jedit.Buffer.editSyntaxStyle(JEditTextArea)	1	1
 	5062	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JDialog,SyntaxStyle,String)	8	
 	5063	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JFrame,SyntaxStyle,String)	10	
 	5064	org.gjt.sp.jedit.gui.StyleEditor.initialize(Component,SyntaxStyle,String)	100	
 	5065	org.gjt.sp.jedit.gui.StyleEditor.actionPerformed(ActionEvent)	836	
 	5066	org.gjt.sp.jedit.gui.StyleEditor.ok()	3474	
 	5067	org.gjt.sp.jedit.gui.StyleEditor.cancel()	6197	
 	5068	org.gjt.sp.jedit.gui.StyleEditor.getStyle()	96	
 	5074	org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler.mouseClicked(MouseEvent)	2	
1789707	1632	org.gjt.sp.jedit.io.EncodingServer.hasEncoding(String)	10	1
 	6120	org.gjt.sp.jedit.io.XMLEncodingDetector.getXMLEncoding(String)	1	
1818140	2265	org.gjt.sp.jedit.gui.HistoryText.showPopupMenu(String,int,int)	205	40
 	3229	org.gjt.sp.jedit.gui.ListModelEditor.open(DefaultListModel)	97	
 	3230	org.gjt.sp.jedit.gui.ListModelEditor.createTableModel(DefaultListModel)	60	
 	3231	org.gjt.sp.jedit.gui.ListModelEditor.updatelistModel(DefaultListModel,DefaultTableModel)	40	
1825720	692	org.gjt.sp.jedit.bufferio.BufferAutosaveRequest.run()	149	149
1834620	4748	org.gjt.sp.jedit.search.SearchAndReplace.regexpReplace(SearchMatcher.Match,String)	56	56
1854542	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	2132	39
 	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	39	
1866836	1125	org.gjt.sp.jedit.gui.CompleteWord.completeWord(View)	109	75
 	1140	org.gjt.sp.jedit.gui.CompleteWord.Words.complete(int)	75	
1869978	2816	org.gjt.sp.jedit.jEdit.addBufferToList(Buffer)	114	114
1883809	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	27	27
1887293	6040	org.gjt.sp.jedit.View.loadToolBars()	4	4
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	37	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()	56	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	8	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	228	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	68	
1894235	6040	org.gjt.sp.jedit.View.loadToolBars()	4	4
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	36	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()	10	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	7	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	205	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	97	
1906288	169	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int,int)	50	50
1910061	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	1	1
 	-1	org.gjt.sp.jedit.textarea.TextArea.scrollToCurrent()		
1912735	4837	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.getWidget(View)	795	62
 	4838	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLengthWidget(View)	62	
 	4839	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.getComponent()	388	
 	4840	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.update()	5820	
 	4841	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.propertiesChanged()	5821	
 	4842	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.handleMessage(EBMessage)	330	
 	4843	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.addNotify()	1056	
 	4844	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.removeNotify()	1130	
 	4845	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.caretUpdate(CaretEvent)	75	
1913979	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	565	565
1923613	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	7	2
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	56	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)	13	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	2	
 	4780	org.gjt.sp.jedit.search.SearchDialog.updateEnabled()	16	
1931333	1145	org.gjt.sp.jedit.gui.CompleteWord.keyTyped(KeyEvent)	119	119
1936518	305	org.gjt.sp.jedit.browser.BrowserCommandsMenu.BrowserCommandsMenu(VFSBrowser,VFSFile[])	20	20
 	5781	org.gjt.sp.jedit.browser.VFSBrowser.rename(String,String)	1399	
 	-1	org.gjt.sp.jedit.browser.VFSBrowser.fileProperties()		
 	-1	org.gjt.sp.jedit.gui.FilePropertiesDialog.FilePropertiesDialog(View,VFSBrowser)		
 	1821	org.gjt.sp.jedit.gui.FilePropertiesDialog.createAndShowGUI()	2481	
 	1812	org.gjt.sp.jedit.gui.FilePropertiesDialog.addComponentsToPane()	1250	
 	1813	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanelAll()	189	
 	1814	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanelAll()	40	
 	1815	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanelAll()	1752	
 	1816	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanel()	2045	
 	1817	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanel()	321	
 	1818	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanel()	1753	
 	1819	org.gjt.sp.jedit.gui.FilePropertiesDialog.ok()	408	
 	1820	org.gjt.sp.jedit.gui.FilePropertiesDialog.cancel()	4103	
 	1822	org.gjt.sp.jedit.gui.FilePropertiesDialog.ButtonActionHandler.actionPerformed(ActionEvent)	4104	
1938174	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	24	24
1942313	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	12	12
1947676	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	19	8
 	2347	org.gjt.sp.jedit.search.HyperSearchResults.searchStarted()	8	
 	2349	org.gjt.sp.jedit.search.HyperSearchResults.searchFailed()	59	
 	2350	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode,DefaultMutableTreeNode)	61	
1961989	5576	org.gjt.sp.jedit.options.ToolBarOptionPane._init()	98	42
 	5579	org.gjt.sp.jedit.options.ToolBarOptionPane.reloadButtonList(String)	183	
 	5588	org.gjt.sp.jedit.options.ToolBarOptionPane.ActionHandler.actionPerformed(ActionEvent)	142	
 	65	org.gjt.sp.jedit.gui.AbstractContextOptionPane._init()	42	
 	70	org.gjt.sp.jedit.gui.AbstractContextOptionPane.reloadContextList(String)	56	
 	73	org.gjt.sp.jedit.gui.AbstractContextOptionPane.ActionHandler.actionPerformed(ActionEvent)	95	
1965114	5834	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.getSelectedFiles()	143	143
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	173	
1984000	805	org.gjt.sp.jedit.bufferset.BufferSet.addBufferAt(Buffer,int)	30	30
1984974	6038	org.gjt.sp.jedit.View.propertiesChanged()	23	23
 	5027	org.gjt.sp.jedit.options.StatusBarOptionPane._init()	77	
 	5028	org.gjt.sp.jedit.options.StatusBarOptionPane._save()	76	
1999448	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	120	1
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	61	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	10	
 	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	46	
 	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	1	
2015210	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	71	15
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	15	
2017514	3560	org.gjt.sp.jedit.textarea.MouseHandler.mouseReleased(MouseEvent)	554	554
2060078	6045	org.gjt.sp.jedit.View.handleEditPaneUpdate(EditPaneUpdate)	456	92
 	6046	org.gjt.sp.jedit.View.closeDuplicateBuffers(EditPaneUpdate)	92	
2068307	1050	org.gjt.sp.jedit.gui.CloseDialog.CloseDialog(View)	247	84
 	2741	org.gjt.sp.jedit.jEdit.closeBuffer(View,Buffer)	84	
 	623	org.gjt.sp.jedit.Buffer.getPath(Boolean)	4228	
 	668	org.gjt.sp.jedit.Buffer.toString()	734	
 	3438	org.gjt.sp.jedit.MiscUtilities.abbreviate(String)	3667	
 	3508	org.gjt.sp.jedit.MiscUtilities.VarCompressor.VarCompressor()	3744	
 	3509	org.gjt.sp.jedit.MiscUtilities.VarCompressor.compress(String)	3828	
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	184	
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	175	
